algae4400_person_id,algae4401_life_stage,algae4402_name_sum_percent_err,algae4403_name_avg_percent_err,algae4404_name_med_percent_err,algae4405_nox_rd_sum_percent_err,algae4406_nox_rd_avg_percent_err,algae4407_nox_rd_med_percent_err,algae4408_pm10_gr_sum_percent_err,algae4409_pm10_gr_avg_percent_err,algae4410_pm10_gr_med_percent_err,algae4411_pm10_rd_sum_percent_err,algae4412_pm10_rd_avg_percent_err,algae4413_pm10_rd_med_percent_err,algae4414_pm10_tot_sum_percent_err,algae4415_pm10_tot_avg_percent_err,algae4416_pm10_tot_med_diff
early_many_moves,T1,188.888888888889,188.888888888889,225,340,340,450,242.857142857143,242.857142857143,300,566.666666666667,566.666666666667,900,154.545454545455,154.545454545455,180
early_many_moves,T2,92.5925925925926,92.5925925925926,116.666666666667,131.578947368421,131.578947368421,175,108.695652173913,108.695652173913,140,166.666666666667,166.666666666667,233.333333333333,80.6451612903226,80.6451612903226,100
early_many_moves,T3,18.1818181818182,18.1818181818182,18.1818181818182,22.2222222222222,22.2222222222222,22.2222222222222,20,20,20,25,25,25,16.6666666666667,16.6666666666667,16.6666666666667
early_many_moves,EL,24.7422680412371,24.7422680412371,27.7777777777778,27.9820627802691,27.9820627802691,31.25,26.2626262626263,26.2626262626263,29.4117647058824,29.9424184261036,29.9424184261036,33.3333333333333,23.3883058470765,23.3883058470765,26.3157894736842
early_many_moves_with_err,T1,188.888888888889,188.888888888889,225,340,340,450,242.857142857143,242.857142857143,300,566.666666666667,566.666666666667,900,154.545454545455,154.545454545455,180
early_many_moves_with_err,T2,92.5925925925926,92.5925925925926,116.666666666667,131.578947368421,131.578947368421,175,108.695652173913,108.695652173913,140,166.666666666667,166.666666666667,233.333333333333,80.6451612903226,80.6451612903226,100
early_many_moves_with_err,T3,18.1818181818182,18.1818181818182,18.1818181818182,22.2222222222222,22.2222222222222,22.2222222222222,20,20,20,25,25,25,16.6666666666667,16.6666666666667,16.6666666666667
early_many_moves_with_err,EL,24.7422680412371,24.7422680412371,27.7777777777778,27.9820627802691,27.9820627802691,31.25,26.2626262626263,26.2626262626263,29.4117647058824,29.9424184261036,29.9424184261036,33.3333333333333,23.3883058470765,23.3883058470765,26.3157894736842
early_many_overlaps,T1,59.2307692307692,59.2307692307692,125,91.6666666666667,91.6666666666667,250,71.9626168224299,71.9626168224299,166.666666666667,126.229508196721,126.229508196721,500,50.3267973856209,50.3267973856209,100
early_many_overlaps,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_overlaps,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_overlaps,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
