algae3100_person_id,algae3101_life_stage,algae3102_name_sum,algae3103_name_err_sum,algae3104_name_avg,algae3105_name_err_avg,algae3106_name_med,algae3107_name_err_med,algae3108_nox_rd_sum,algae3109_nox_rd_err_sum,algae3110_nox_rd_avg,algae3111_nox_rd_err_avg,algae3112_nox_rd_med,algae3113_nox_rd_err_med,algae3114_pm10_gr_sum,algae3115_pm10_gr_err_sum,algae3116_pm10_gr_avg,algae3117_pm10_gr_err_avg,algae3118_pm10_gr_med,algae3119_pm10_gr_err,algae3120_pm10_rd_sum,algae3121_pm10_rd_err_sum,algae3122_pm10_rd_avg,algae3123_pm10_rd_err_avg,algae3124_pm10_rd_med,algae3125_pm10_rd_err_med,algae3126_pm10_tot_sum,algae3127_pm10_tot_err_sum,algae3128_pm10_tot_avg,algae3129_pm10_tot_err_avg,algae3130_pm10_tot_med,algae3131_pm10_tot_err_med
early_many_moves,T1,414,0,4.5,0,4,0,230,0,2.5,0,2,0,322,0,3.5,0,3,0,138,0,1.5,0,1,0,506,0,5.5,0,5,0
early_many_moves,T2,621,0,6.75,0,6,0,437,0,4.75,0,4,0,529,0,5.75,0,5,0,345,0,3.75,0,3,0,713,0,7.75,0,7,0
early_many_moves,T3,836,0,11,0,11,0,684,0,9,0,9,0,760,0,10,0,10,0,608,0,8,0,8,0,912,0,12,0,12,0
early_many_moves,EL,6305,0,17.2739726027397,0,18,0,5575,0,15.2739726027397,0,16,0,5940,0,16.2739726027397,0,17,0,5210,0,14.2739726027397,0,15,0,6670,0,18.2739726027397,0,19,0
early_many_moves_with_err,T1,414,2,4.5,0.0217391304347826,4,0,230,2,2.5,0.0217391304347826,2,0,322,2,3.5,0.0217391304347826,3,0,138,2,1.5,0.0217391304347826,1,0,506,2,5.5,0.0217391304347826,5,0
early_many_moves_with_err,T2,621,9,6.75,0.0978260869565217,6,0,437,9,4.75,0.0978260869565217,4,0,529,9,5.75,0.0978260869565217,5,0,345,9,3.75,0.0978260869565217,3,0,713,9,7.75,0.0978260869565217,7,0
early_many_moves_with_err,T3,836,16,11,0.210526315789474,11,0,684,16,9,0.210526315789474,9,0,760,16,10,0.210526315789474,10,0,608,16,8,0.210526315789474,8,0,912,16,12,0.210526315789474,12,0
early_many_moves_with_err,EL,6305,25,17.2739726027397,0.0684931506849315,18,0,5575,25,15.2739726027397,0.0684931506849315,16,0,5940,25,16.2739726027397,0.0684931506849315,17,0,5210,25,14.2739726027397,0.0684931506849315,15,0,6670,25,18.2739726027397,0.0684931506849315,19,0
early_many_overlaps,T1,520,11,5.65217391304348,0.119565217391304,4,0,336,11,3.65217391304348,0.119565217391304,2,0,428,11,4.65217391304348,0.119565217391304,3,0,244,11,2.65217391304348,0.119565217391304,1,0,612,11,6.65217391304348,0.119565217391304,5,0
early_many_overlaps,T2,828,0,9,0,9,0,644,0,7,0,7,0,736,0,8,0,8,0,552,0,6,0,6,0,920,0,10,0,10,0
early_many_overlaps,T3,684,0,9,0,9,0,532,0,7,0,7,0,608,0,8,0,8,0,456,0,6,0,6,0,760,0,10,0,10,0
early_many_overlaps,EL,3285,0,9,0,9,0,2555,0,7,0,7,0,2920,0,8,0,8,0,2190,0,6,0,6,0,3650,0,10,0,10,0
early_no_moves,T1,368,0,4,0,4,0,184,0,2,0,2,0,276,0,3,0,3,0,92,0,1,0,1,0,460,0,5,0,5,0
early_no_moves,T2,368,0,4,0,4,0,184,0,2,0,2,0,276,0,3,0,3,0,92,0,1,0,1,0,460,0,5,0,5,0
early_no_moves,T3,304,0,4,0,4,0,152,0,2,0,2,0,228,0,3,0,3,0,76,0,1,0,1,0,380,0,5,0,5,0
early_no_moves,EL,1460,0,4,0,4,0,730,0,2,0,2,0,1095,0,3,0,3,0,365,0,1,0,1,0,1825,0,5,0,5,0
missing_exposure_days,T1,820,0,10,0,10,0,820,0,10,0,10,0,820,0,10,0,10,0,820,0,10,0,10,0,820,0,10,0,10,0
missing_exposure_days,T2,920,0,10,0,10,0,920,0,10,0,10,0,920,0,10,0,10,0,920,0,10,0,10,0,920,0,10,0,10,0
missing_exposure_days,T3,760,0,10,0,10,0,760,0,10,0,10,0,760,0,10,0,10,0,760,0,10,0,10,0,760,0,10,0,10,0
missing_exposure_days,EL,3650,0,10,0,10,0,3650,0,10,0,10,0,3650,0,10,0,10,0,3650,0,10,0,10,0,3650,0,10,0,10,0
