algae3500_person_id,algae3501_life_stage,algae3502_life_stage_duration,algae3503_name_inv_addr_days,algae3504_name_oob_days,algae3505_name_poor_addr_days,algae3506_name_missing_exp_days,algae3507_name_good_addr_days,algae3508_nox_rd_inv_addr_days,algae3509_nox_rd_oob_days,algae3510_nox_rd_poor_addr_days,algae3511_nox_rd_missing_exp_days,algae3512_nox_rd_good_addr_days,algae3513_pm10_rd_inv_addr_days,algae3514_pm10_rd_oob_days,algae3515_pm10_rd_poor_addr_days,algae3516_pm10_rd_missing_exp_days,algae3517_pm10_rd_good_addr_days,algae3518_pm10_gr_inv_addr_days,algae3519_pm10_gr_oob_days,algae3520_pm10_gr_poor_addr_days,algae3521_pm10_gr_missing_exp_days,algae3522_pm10_gr_good_addr_days,algae3523_pm10_tot_inv_addr_days,algae3524_pm10_tot_oob_days,algae3525_pm10_tot_poor_addr_days,algae3526_pm10_tot_missing_exp_days,algae3527_pm10_tot_good_addr_days,algae3528_name_sum,algae3529_name_err_sum,algae3530_name_avg,algae3531_name_err_avg,algae3532_name_med,algae3533_name_err_med,algae3534_nox_rd_sum,algae3535_nox_rd_err_sum,algae3536_nox_rd_avg,algae3537_nox_rd_err_avg,algae3538_nox_rd_med,algae3539_nox_rd_err_med,algae3540_pm10_gr_sum,algae3541_pm10_gr_err_sum,algae3542_pm10_gr_avg,algae3543_pm10_gr_err_avg,algae3544_pm10_gr_med,algae3545_pm10_gr_err_med,algae3546_pm10_rd_sum,algae3547_pm10_rd_err_sum,algae3548_pm10_rd_avg,algae3549_pm10_rd_err_avg,algae3550_pm10_rd_med,algae3551_pm10_rd_err_med,algae3552_pm10_tot_sum,algae3553_pm10_tot_err_sum,algae3554_pm10_tot_avg,algae3555_pm10_tot_err_avg,algae3556_pm10_tot_med,algae3557_pm10_tot_err_med
late_many_moves,YR1,YR1,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,1460,0,4,0,4,0,730,0,2,0,2,0,1095,0,3,0,3,0,365,0,1,0,1,0,1825,0,5,0,5,0
late_many_moves,YR2,YR2,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,1826,0,5.0027397260274,0,6,0,1096,0,3.0027397260274,0,4,0,1461,0,4.0027397260274,0,5,0,731,0,2.0027397260274,0,3,0,2191,0,6.0027397260274,0,7,0
late_many_moves,YR3,YR3,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,4366,0,11.9616438356164,0,13,0,3636,0,9.96164383561644,0,11,0,4001,0,10.9616438356164,0,12,0,3271,0,8.96164383561644,0,10,0,4731,0,12.9616438356164,0,14,0
late_many_moves,YR4,YR4,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6113,0,16.7021857923497,0,18,0,5381,0,14.7021857923497,0,16,0,5747,0,15.7021857923497,0,17,0,5015,0,13.7021857923497,0,15,0,6479,0,17.7021857923497,0,19,0
late_many_moves,YR5,YR5,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR6,YR6,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR7,YR7,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR8,YR8,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6588,0,18,0,18,0,5856,0,16,0,16,0,6222,0,17,0,17,0,5490,0,15,0,15,0,6954,0,19,0,19,0
late_many_moves,YR9,YR9,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR10,YR10,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR11,YR11,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR12,YR12,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6588,0,18,0,18,0,5856,0,16,0,16,0,6222,0,17,0,17,0,5490,0,15,0,15,0,6954,0,19,0,19,0
late_many_moves,YR13,YR13,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR14,YR14,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR15,YR15,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves,YR16,YR16,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6588,0,18,0,18,0,5856,0,16,0,16,0,6222,0,17,0,17,0,5490,0,15,0,15,0,6954,0,19,0,19,0
late_many_moves_with_err,YR1,YR1,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,1460,0,4,0,4,0,730,0,2,0,2,0,1095,0,3,0,3,0,365,0,1,0,1,0,1825,0,5,0,5,0
late_many_moves_with_err,YR2,YR2,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,1826,184,5.0027397260274,0.504109589041096,6,0,1096,184,3.0027397260274,0.504109589041096,4,0,1461,184,4.0027397260274,0.504109589041096,5,0,731,184,2.0027397260274,0.504109589041096,3,0,2191,184,6.0027397260274,0.504109589041096,7,0
late_many_moves_with_err,YR3,YR3,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,4366,288,11.9616438356164,0.789041095890411,13,0,3636,288,9.96164383561644,0.789041095890411,11,0,4001,288,10.9616438356164,0.789041095890411,12,0,3271,288,8.96164383561644,0.789041095890411,10,0,4731,288,12.9616438356164,0.789041095890411,14,0
late_many_moves_with_err,YR4,YR4,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6113,450,16.7021857923497,1.22950819672131,18,0,5381,450,14.7021857923497,1.22950819672131,16,0,5747,450,15.7021857923497,1.22950819672131,17,0,5015,450,13.7021857923497,1.22950819672131,15,0,6479,450,17.7021857923497,1.22950819672131,19,0
late_many_moves_with_err,YR5,YR5,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR6,YR6,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR7,YR7,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR8,YR8,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6588,0,18,0,18,0,5856,0,16,0,16,0,6222,0,17,0,17,0,5490,0,15,0,15,0,6954,0,19,0,19,0
late_many_moves_with_err,YR9,YR9,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR10,YR10,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR11,YR11,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR12,YR12,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,6588,0,18,0,18,0,5856,0,16,0,16,0,6222,0,17,0,17,0,5490,0,15,0,15,0,6954,0,19,0,19,0
late_many_moves_with_err,YR13,YR13,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR14,YR14,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
late_many_moves_with_err,YR15,YR15,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,0,0,0,0,365,6570,0,18,0,18,0,5840,0,16,0,16,0,6205,0,17,0,17,0,5475,0,15,0,15,0,6935,0,19,0,19,0
